audit_id,query_id,query,query_type,auto_reason,first_rank,top_memory_id,top_memory_type,top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts,llm_manual_reason,llm_auto_reason_correct,llm_top_memory_relevant,llm_gold_memory_sufficient,llm_auditor_notes,human_manual_reason,human_auto_reason_correct,human_top_memory_relevant,human_gold_memory_sufficient,human_auditor_notes
audit_065,q01789,Which types of cars does Dave like the most?,1,preference_neighbor,5,llm_02404,hobby,Dave has a garage with cars that he is proud of.,llm_02271|llm_02272|llm_02273|llm_02253|llm_02267|llm_02274|llm_02275,event|goal|hobby|work,"Dave opened his own car maintenance shop. || Dave's dream was to open a car maintenance shop, and he achieved it. || Dave's next dream is to work on classic cars.","Top memory is about having cars, not preferences",partial,partial,yes,llm_assisted: Top memory is related but not about preferences.,,,,,
audit_066,q00176,What did Caroline and her family see during their camping trip last year?,5,relationship_neighbor,3,llm_00053,event,Caroline had a picnic with friends and family last week.,llm_00095,event,Melanie's best camping memory is seeing the Perseid meteor shower during a camping trip last year.,"Top memory is about a picnic, not the camping trip; gold memory mentions meteor shower.",no,partial,yes,llm_assisted: Top memory is related to Caroline but not the camping trip; gold memory directly answers.,,,,,
audit_067,q00475,How long was Max a part of Maria's family?,5,relationship_neighbor,2,llm_00513,event,Maria's pet Max recently died.,llm_00507,event,John's family dog Max died recently after being part of the family for 10 years.,Top memory mentions Max's death but not duration; gold memory provides 10 years.,no,partial,yes,llm_assisted: Top memory is related but lacks duration; gold memory has the answer.,,,,,
audit_068,q01349,Which of Deborah`s family and friends have passed away?,1,relationship_neighbor,4,llm_01988,family,Deborah's mom has passed away.,llm_01729|llm_01739|llm_01740|llm_01779|llm_01780,emotion|event|family|preference,"Deborah's mother passed away a few years ago. || Deborah's father passed away two days before January 27, 2023. || Deborah is coping with her father's death by spending time with family and cherishing memories.","Top memory only mentions mom's death, missing father's death and coping details.",no,partial,yes,llm_assisted: Top memory is partially relevant but incomplete; gold memory covers all.,,,,,
audit_069,q01772,What is the motto of Sam's family?,5,relationship_neighbor,2,llm_02219,family,Sam's family has been a rock for him through everything.,llm_02181,family,"Evan's family motto is 'Bring it on Home', from a trip to Banff.","Top memory is about family support, not the motto; gold memory has the motto.",no,no,yes,llm_assisted: Top memory is irrelevant to the motto; gold memory directly answers.,,,,,
audit_070,q01182,What kind of games has James tried to develop?,1,semantic_neighbor,17,llm_01456,hobby,James has been exploring different styles of gaming recently.,llm_01438|llm_01698,event|hobby,James is currently enjoying playing The Witcher 3. || James released his first game for the gaming community recently.,"Top memory is about exploring gaming styles, not game development; gold memory mentions released game.",no,partial,yes,llm_assisted: Top memory is related to gaming but not development; gold memory provides specifics.,,,,,
audit_071,q01605,What kind of healthy food suggestions has Evan given to Sam?,1,semantic_neighbor,20,llm_02208,plan,Evan plans to send Sam recipes for healthy snacks and cookies.,llm_02041|llm_02050|llm_02052|llm_02205|llm_02206,health|hobby|plan|preference,Sam agreed to try swapping soda for flavored seltzer water and candy for dark chocolate with high cocoa content. || Evan is reading 'The Great Gatsby' and finds it gripping. || Evan suggested flavored seltzer water as an alternative to soda and recommended air-popped popcorn or fruit as low-calorie snacks.,"Top memory is a plan to send recipes, but gold includes specific suggestions already given.",partial,partial,yes,llm_assisted: Top memory is related but not the actual suggestions; gold has them.,,,,,
audit_072,q01670,What type of car did Evan get after his old Prius broke down?,4,semantic_neighbor,2,llm_02172,event,Evan recently bought a new Prius that broke down.,llm_02023|llm_02024,event,Evan recently bought a new Prius after his old one broke down and he repaired and sold it. || Evan went on a family trip to the Rockies last week and hiked the trails.,"Top memory says new Prius broke down, but gold clarifies it was the old one that broke down.",partial,partial,yes,llm_assisted: Top memory is ambiguous and slightly incorrect; gold is clear.,,,,,
audit_073,q01811,What does Calvin do to relax?,1,semantic_neighbor,3,llm_02423,hobby,Calvin has a project he works on to chill out.,llm_02286|llm_02287|llm_02288|llm_02303,emotion|hobby,Calvin relaxes by taking long drives in his car. || Calvin has been enjoying learning about Japanese culture. || Calvin is experiencing creative block with his music.,"Top memory mentions a project to chill out, but gold specifies long drives.",partial,partial,yes,llm_assisted: Top memory is related but not the specific relaxation method.,,,,,
audit_074,q01884,What did Calvin and his friends record in August 2023?,4,semantic_neighbor,5,llm_02397,event,"Calvin released his album on September 11, 2023.",llm_02381,event,Calvin and his friends recorded a podcast yesterday discussing the rap industry.,"Top memory is about album release, not the podcast recording.",no,no,yes,llm_assisted: Top memory is unrelated to the query.,,,,,
audit_075,q00133,How long has Melanie been creating art?,4,temporal_neighbor,11,llm_00154,hobby,"Melanie has been into art for seven years, focusing on painting and pottery.",llm_00153,hobby,Caroline has been creating art since she was 17.,"Top memory is about Melanie, but gold is about Caroline; query asks Melanie.",no,no,unclear,llm_assisted: Entity mismatch; gold may not be relevant.,,,,,
audit_076,q00520,When did Joanna start writing her third screenplay?,2,temporal_neighbor,5,llm_00734,work,Joanna recently finished writing a screenplay.,llm_00723|llm_00724,work,"Joanna has written her third book, which is about loss, identity, and connection. || Joanna's third book is personal and based on a story she had for ages but just got the courage to write.",Top memory mentions finishing a screenplay but not the third one or timing.,partial,partial,no,llm_assisted: Top memory is related but lacks specific timing and third screenplay detail.,,,,,
audit_077,q00555,When did Joanna plan to go over to Nate's and share recipes?,2,temporal_neighbor,6,llm_00718,plan,Joanna and Nate plan to go hiking together sometime.,llm_00863,plan,Joanna plans to visit Nate tomorrow to share desserts and try his lactose-free dessert.,"Top memory is about hiking, not sharing recipes.",no,no,yes,llm_assisted: Top memory is irrelevant; gold memory directly answers the query.,,,,,
audit_078,q01242,What kind of assignment was giving John a hard time at work?,4,temporal_neighbor,6,llm_00529,work,John tries to organize his time to balance work and family.,llm_01502|llm_01503|llm_01504,emotion|work,John is currently very busy with work and has many deadlines. || John is working on a difficult coding project involving an algorithm and is stuck. || John hates being stuck and not making progress on his work.,"Top memory is about time management, not the specific assignment.",partial,partial,yes,llm_assisted: Top memory is related to work but not the specific assignment; gold memory provides details.,,,,,
audit_079,q01663,When did Evan finish the painting that's hanging in the exhibit?,2,temporal_neighbor,2,llm_02083,hobby,Evan started painting years ago after a friend gave him a painting that inspired him.,llm_02189|llm_02191,emotion|hobby,Evan finished a contemporary figurative painting a few days ago. || Evan is proud of his painting.,"Top memory is about starting painting, not finishing the exhibit painting.",partial,partial,yes,llm_assisted: Top memory is related to painting but not the specific finish time; gold memory has it.,,,,,
audit_080,q01819,When was Calvin's album released?,2,temporal_neighbor,2,llm_02489,event,Calvin released a new album.,llm_02397|llm_02398|llm_02406,emotion|event|relationship,"Calvin released his album on September 11, 2023. || Calvin is motivated by the positive reception of his album to continue making music. || Calvin and Dave have a friendly relationship and enjoy chatting about music and hobbies.",Top memory mentions album release but lacks date.,partial,yes,yes,llm_assisted: Top memory is relevant but lacks the release date; gold memory provides it.,,,,,
