query_id,query,query_type,intent,first_rank,reason,top_memory_id,top_memory_type,top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts
q00371,What sparked John's interest in improving education and infrastructure in the community?,4,career_education,4,memory_type_mismatch,llm_00373,goal,John is passionate about improving education and infrastructure in his community.,llm_00374|llm_00375,event|other,"John's interest in education and infrastructure stems from growing up in a neighborhood affected by lack of education and crumbling infrastructure. || John was involved in getting funding for a school last year, which enabled repairs and renovations."
q00373,What type of workout class did Maria start doing in December 2023?,4,activity,2,memory_type_mismatch,llm_00422,education,Maria recently took a creative writing class.,llm_00369|llm_00370,hobby,Maria volunteers at a homeless shelter. || Maria started doing aerial yoga.
q00375,What kind of meal did John and his family make together in the photo shared by John?,4,relationship,2,relationship_neighbor,llm_00505,event,John shared a picture of his family at the beach with Maria.,llm_00384,event,John and his family made pizza together recently.
q00376,What kind of online group did John join?,4,other,2,semantic_neighbor,llm_01622,event,John joined an online programming group last Friday.,llm_00387|llm_00388,emotion|event,John joined a service-focused online group last week. || John feels a sense of connection and purpose with the service-focused online group.
q00377,What kind of activities did John and his mates from the online group do as part of their service efforts?,4,activity,63,gold_below_top20,llm_00388,emotion,John feels a sense of connection and purpose with the service-focused online group.,llm_00389|llm_00390,event,John participated in a homeless shelter event giving out food and supplies. || John organized a toy drive for kids in need.
q00379,Why did Maria sit with the little girl at the shelter event in February 2023?,4,causal_emotion,2,other,llm_00414,event,Maria participated in a charity event last Friday (around 5 February 2023) and found it rewarding.,llm_00411,event,Maria had a touching moment at the shelter with an 8-year-old girl who had no other family; she comforted her and they laughed together.
q00381,Why did John decide to run for office again?,4,activity,2,activity_neighbor,llm_00482,goal,"John decided to run for office again last week, despite not having been successful before.",llm_00423|llm_00425,goal,John is running for office again. || John decided to run for office again because he saw the impact he could make in the community through politics.
q00386,Where did Maria get the idea for the castle shadow box in her home?,4,location,5,other,llm_00459,event,Maria recently gave talks at the homeless shelter where she volunteers.,llm_00434|llm_00435,event|hobby,"Maria visited London, England a few years ago and was inspired by the castles and architecture. || Maria made a painting inspired by her trip to London."
q00389,"What did Maria participate in last weekend before April 10, 2023?",4,temporal,4,temporal_neighbor,llm_00414,event,Maria participated in a charity event last Friday (around 5 February 2023) and found it rewarding.,llm_00452|llm_00453,event|preference,Maria participated in a 5K charity run for a homeless shelter last weekend. || Maria is passionate about charity work.
q00394,Why did John start blogging about politics and policies?,4,causal_emotion,2,memory_type_mismatch,llm_00465,hobby,"John is blogging about politics and government, focusing on education reform and infrastructure development.",llm_00466,goal,John cares about making a real impact through his blogging and wants to raise awareness and start conversations for positive change.
q00395,What was the focus of John's recent research and writing on his blog?,4,other,4,memory_type_mismatch,llm_01561,event,John started a blog about coding last week.,llm_00465|llm_00466,goal|hobby,"John is blogging about politics and government, focusing on education reform and infrastructure development. || John cares about making a real impact through his blogging and wants to raise awareness and start conversations for positive change."
q00397,How often does John work out with his family?,4,relationship,2,memory_type_mismatch,llm_00529,work,John tries to organize his time to balance work and family.,llm_00472,plan,John and his family attend boot camps three times a week.
q00399,What kind of food did Maria have on her dinner spread iwth her mother?,4,other,34,gold_below_top20,llm_00475,event,Maria and her mom made dinner together last night.,llm_00476|llm_00477,hobby|preference,"Maria's favorite dessert is banana split sundae, which she enjoys after volunteering. || Maria volunteers."
q00403,What did John host for the veterans in May 2023 as part of the project?,4,other,6,memory_type_mismatch,llm_00498,emotion,John feels stressed but rewarded by his veterans project.,llm_00495,event,John threw a small party for veterans last Friday to share stories and build camaraderie.
q00407,What does Maria need to spread the word about for the fundraiser for the volunteer shelter?,4,other,25,gold_below_top20,llm_00502,plan,Maria is busy at the shelter preparing for a fundraiser next week.,llm_00503,event,Maria's fundraiser includes a chili cook-off.
q00408,"What was the name of the pet that John had to say goodbye to on 3 June, 2023?",4,other,3,other,llm_00515,event,John recently lost his pet Max.,llm_00507,event,John's family dog Max died recently after being part of the family for 10 years.
q00410,How does John plan to honor the memories of his beloved pet?,4,other,13,memory_type_mismatch,llm_00508,emotion,John is grieving the loss of his dog Max but finds comfort in memories.,llm_00509|llm_00510,goal|plan,John wants his kids to learn unconditional love and loyalty from the bond with Max. || John is considering adopting a rescue dog to teach his kids responsibility and compassion.
q00412,"What new activity did Maria start recently, as mentioned on 3 June, 2023?",4,temporal,19,memory_type_mismatch,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00511|llm_00512,hobby|relationship,Maria started volunteering at a local dog shelter once a month. || Maria offered to help John with adopting a rescue dog.
q00415,"What exciting news did Maria share on 16 June, 2023?",4,other,50,gold_below_top20,llm_00414,event,Maria participated in a charity event last Friday (around 5 February 2023) and found it rewarding.,llm_00521,hobby,Maria joined a gym last week and is sticking to her workout routine.
q00418,What was one of the biggest challenges John faced in his journey to becoming assistant manager?,4,other,3,other,llm_00524,work,John got promoted to assistant manager at work.,llm_00526,work,"John faced challenges including tech issues, workplace problems, and self-doubt before his promotion."
q00419,How does John describe the support he received during his journey to becoming assistant manager?,4,causal_emotion,59,gold_below_top20,llm_00524,work,John got promoted to assistant manager at work.,llm_00526,work,"John faced challenges including tech issues, workplace problems, and self-doubt before his promotion."
q00420,What kind of event did John and his family attend in June 2023?,4,relationship,2,memory_type_mismatch,llm_00472,plan,John and his family attend boot camps three times a week.,llm_00535,event,John attended a live music event with his family last week and had a blast.
q00423,What inspired John to join the marching event for veterans' rights?,4,other,8,memory_type_mismatch,llm_00545,event,John participated in a marching event for veterans' rights.,llm_00546|llm_00547,preference,John has great respect for the military and wanted to show support. || John believes it's important to stand up for what he believes in.
q00424,How often does John get to see sunsets like the one he shared with Maria?,4,preference,70,gold_below_top20,llm_00505,event,John shared a picture of his family at the beach with Maria.,llm_00557,hobby,John goes on walks at least once a week and appreciates nature.
q00425,"What natural disaster affected John's old area on 7 July, 2023?",4,other,2,memory_type_mismatch,llm_00491,goal,"John wants to work on improving his old area, West County.",llm_00560,event,"John's old area was hit by a nasty flood last week, causing many homes to be ruined due to poor infrastructure."
q00427,"What motivated Maria and John to discuss potential solutions for their community on 7 July, 2023?",4,other,534,gold_below_top20,llm_00562,plan,Maria agreed to join John's meeting to discuss community solutions.,llm_00560,event,"John's old area was hit by a nasty flood last week, causing many homes to be ruined due to poor infrastructure."
q00428,"What did Maria plan to do later on the evening of 7 July, 2023?",4,other,17,other,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00564,event,Maria is having dinner with friends from the gym after the conversation.
q00429,What kind of activities did Maria do at the picnic with her church friends?,4,activity,4,activity_neighbor,llm_00568,event,Maria had a picnic with friends from church last weekend.,llm_00569,event,Maria played charades and a scavenger hunt at the picnic.
q00433,In what activity did Maria and her church friends participate in July 2023?,4,activity,4,activity_neighbor,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00576,event,Maria went hiking with church friends last weekend and found it refreshing.
q00434,What does John think about trying new classes at the yoga studio?,4,activity,5,memory_type_mismatch,llm_00580,hobby,"John's yoga studio offers yoga, kickboxing, and circuit training classes.",llm_00582,plan,Maria is considering trying new classes to switch up her exercise routine.
q00436,"What community service did Maria mention that she was involved in on 31 July, 2023?",4,other,26,gold_below_top20,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00584|llm_00585,event|goal,Maria dropped off baked goods at a homeless shelter last week. || Maria is motivated to help people.
q00437,How did Maria start volunteering at the homeless shelter?,4,causal_emotion,7,memory_type_mismatch,llm_00469,activity,Maria is volunteering at a homeless shelter.,llm_00595|llm_00596|llm_00597,emotion|event|hobby,Maria volunteers at a homeless shelter. || Maria started volunteering at the homeless shelter about a year ago after witnessing a family struggling on the streets. || Maria finds volunteering at the shelter fulfilling and motivating.
q00438,"What did John do the week before August 3, 2023 involving his kids?",4,other,2,memory_type_mismatch,llm_00431,hobby,John takes his kids to the park a few times a week.,llm_00599,event,John visited a military memorial with his kids last week.
q00439,How did John describe his kids' reaction at the military memorial?,4,causal_emotion,2,memory_type_mismatch,llm_00599,event,John visited a military memorial with his kids last week.,llm_00600,emotion,John's kids were awestruck and humbled by the military memorial visit.
q00441,What does John believe is important for children regarding veterans?,4,other,2,other,llm_00547,preference,John believes it's important to stand up for what he believes in.,llm_00601,preference,John believes it's important to teach kids to respect and appreciate those who served the country.
q00442,What happened to John's job in August 2023?,4,career_education,4,career_education_neighbor,llm_01643,plan,John has a day off tomorrow (27 August 2022).,llm_00602|llm_00603|llm_00604,goal|plan|work,John lost his job at a mechanical engineering company. || John is looking for opportunities in the tech industry. || John found a potential job at a tech company that needs his mechanical skills for their hardware team.
q00447,What recognition did Maria receive at the homeless shelter in August 2023?,4,other,8,memory_type_mismatch,llm_00369,hobby,Maria volunteers at a homeless shelter.,llm_00609,event,Maria volunteered at a homeless shelter last week and received a medal.
q00451,Why does John say he feels stuck and questioning his decisions and goals?,4,causal_emotion,3,memory_type_mismatch,llm_00620,goal,John wants to positively affect people and the world but feels stuck.,llm_00619,emotion,John has been experiencing tough times lately and feels he is not making much of an impact.
q00457,What is John's main focus in international politics?,5,other,2,memory_type_mismatch,llm_00547,preference,John believes it's important to stand up for what he believes in.,llm_00372|llm_00373,goal,John hopes to get into local politics. || John is passionate about improving education and infrastructure in his community.
q00458,What did Maria donate to a luxury store in December 2023?,5,other,12,other,llm_00414,event,Maria participated in a charity event last Friday (around 5 February 2023) and found it rewarding.,llm_00377|llm_00378,event|other,Maria donated her old car to a homeless shelter she volunteers at yesterday. || Maria volunteers at a homeless shelter.
q00459,Who inspired John to start volunteering?,5,other,4,memory_type_mismatch,llm_00455,emotion,John found volunteering at the career fair rewarding and was inspired to help kids with lack of resources.,llm_00410,relationship,"Maria started volunteering to make a difference, inspired by her aunt who believed in volunteering and helped her family when struggling."
q00460,Why did Maria decide to run for office again?,5,activity,2,persona_confusion,llm_00482,goal,"John decided to run for office again last week, despite not having been successful before.",llm_00423|llm_00425,goal,John is running for office again. || John decided to run for office again because he saw the impact he could make in the community through politics.
q00462,What is the name of Maria's one-year-old child?,5,other,3,memory_type_mismatch,llm_00397,relationship,Maria is now friends with one of her fellow volunteers.,llm_00430,family,John has a one-year-old son named Kyle.
q00465,Where did John get the idea for the castle shadow box in his home?,5,location,370,gold_below_top20,llm_01670,hobby,James made sketches and notes from his castle dream.,llm_00434|llm_00435,event|hobby,"Maria visited London, England a few years ago and was inspired by the castles and architecture. || Maria made a painting inspired by her trip to London."
q00468,Why did Maria start blogging about politics and policies?,5,causal_emotion,5,memory_type_mismatch,llm_00403,hobby,Maria has been taking notes about local politics in her notebook.,llm_00466,goal,John cares about making a real impact through his blogging and wants to raise awareness and start conversations for positive change.
q00469,What was the focus of John's recent travel and photography blog?,5,other,30,gold_below_top20,llm_00547,preference,John believes it's important to stand up for what he believes in.,llm_00465|llm_00466,goal|hobby,"John is blogging about politics and government, focusing on education reform and infrastructure development. || John cares about making a real impact through his blogging and wants to raise awareness and start conversations for positive change."
q00470,How often does Maria work out with her family?,5,relationship,103,gold_below_top20,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00472,plan,John and his family attend boot camps three times a week.
q00472,What kind of food did Maria have on her dinner spread with her father?,5,other,49,gold_below_top20,llm_00475,event,Maria and her mom made dinner together last night.,llm_00476|llm_00477,hobby|preference,"Maria's favorite dessert is banana split sundae, which she enjoys after volunteering. || Maria volunteers."
q00475,How long was Max a part of Maria's family?,5,relationship,2,relationship_neighbor,llm_00513,event,Maria's pet Max recently died.,llm_00507,event,John's family dog Max died recently after being part of the family for 10 years.
q00476,How does Maria plan to honor the memories of her beloved pet?,5,other,320,gold_below_top20,llm_00513,event,Maria's pet Max recently died.,llm_00509|llm_00510,goal|plan,John wants his kids to learn unconditional love and loyalty from the bond with Max. || John is considering adopting a rescue dog to teach his kids responsibility and compassion.
q00480,What did Maria recently get promoted to?,5,temporal,2,memory_type_mismatch,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00523|llm_00524,plan|work,John is interested in trying rock climbing as a workout. || John got promoted to assistant manager at work.
q00481,What was one of the biggest challenges Maria faced in her journey to becoming assistant manager?,5,other,12,persona_confusion,llm_00524,work,John got promoted to assistant manager at work.,llm_00526,work,"John faced challenges including tech issues, workplace problems, and self-doubt before his promotion."
q00486,What did John take away from visiting the orphanage?,5,location,133,gold_below_top20,llm_00939,relationship,John feels his team is like a family away from home and they support him in sports and other aspects of life.,llm_00565,event,John visited a veteran's hospital last week and met an elderly veteran named Samuel.
q00490,What happened to Maria's job in August 2023?,5,career_education,112,gold_below_top20,llm_01317,skill,Audrey learned dog grooming in August 2023.,llm_00602|llm_00603|llm_00604,goal|plan|work,John lost his job at a mechanical engineering company. || John is looking for opportunities in the tech industry. || John found a potential job at a tech company that needs his mechanical skills for their hardware team.
q00491,What cause did the 5K charity run organized by Maria support?,5,activity,3,activity_neighbor,llm_00452,event,Maria participated in a 5K charity run for a homeless shelter last weekend.,llm_00610|llm_00611,event,John organized a 5K charity run in his neighborhood to help veterans and their families. || John's 5K charity run raised funds for veterans and their families.
q00493,What recognition did John receive at the homeless shelter in August 2023?,5,other,16,other,llm_00389,event,John participated in a homeless shelter event giving out food and supplies.,llm_00609,event,Maria volunteered at a homeless shelter last week and received a medal.
q00495,How does Maria describe the camping trip with Max?,5,activity,2,activity_neighbor,llm_00514,event,Maria went camping with friends from church last weekend.,llm_00618,event,John went on a camping trip with his dog Max last summer and enjoyed hiking and swimming.
q00498,Is it likely that Nate has friends besides Joanna?,3,other,212,gold_below_top20,llm_00728,family,Nate has other pets besides Max.,llm_00623,event,Nate won his first video game tournament last week in Counter-Strike: Global Offensive.
q00499,What kind of interests do Joanna and Nate share?,1,other,48,gold_below_top20,llm_00682,relationship,Nate and Joanna are friends who support each other.,llm_00627|llm_00624|llm_00646|llm_00705|llm_00706|llm_00707,event|goal|hobby,"Joanna enjoys writing, reading, watching movies, and exploring nature. || Nate's main hobbies are playing video games and watching movies. || Nate discovered he can make coconut milk ice cream and tried it."
q00500,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2,temporal,2,memory_type_mismatch,llm_00888,plan,"Joanna and Nate plan to meet tomorrow to watch the turtles, watch a movie, or go to the park.",llm_00630,event,Joanna first watched the romantic drama about memory and relationships around 3 years ago and owns a physical copy.
q00502,What pets wouldn't cause any discomfort to Joanna?,3,other,26,gold_below_top20,llm_00719,health,Joanna has allergies that prevent her from getting pets.,llm_00638,health,"Joanna is allergic to most reptiles and animals with fur, causing puffy and itchy face."
q00503,What are Joanna's hobbies?,1,activity,7,memory_type_mismatch,llm_00628,preference,Joanna's favorite movie genres are dramas and romcoms.,llm_00627|llm_00643,hobby,"Joanna enjoys writing, reading, watching movies, and exploring nature. || Joanna finds joy in writing and hanging with friends."
q00504,How long has Nate had his first two turtles?,2,temporal,2,memory_type_mismatch,llm_00663,family,Nate has pet turtles.,llm_00636,hobby,Nate has had pet turtles for 3 years and they bring him joy.
q00506,When did Nate get his first two turtles?,2,temporal,9,memory_type_mismatch,llm_00850,preference,Nate enjoys watching his turtles eat fruit because they get excited.,llm_00636,hobby,Nate has had pet turtles for 3 years and they bring him joy.
q00507,What major achievement did Joanna accomplish in January 2022?,2,other,48,gold_below_top20,llm_00769,goal,Joanna recently started writing a book because her movie did well.,llm_00632,event,Joanna finished her first full screenplay and printed it last Friday.
q00508,What emotions is Joanna feeling about the screenplay she submitted?,1,other,2,semantic_neighbor,llm_00753,event,Joanna submitted her recent screenplay to a film contest.,llm_00634|llm_00635|llm_00644|llm_00645,emotion|event|plan,"Joanna plans to submit her screenplay to film festivals and hopes to get producers and directors to check it out. || Joanna feels a mix of relief, excitement, and anxiety after finishing her screenplay. || Joanna submitted a screenplay to a film festival and is waiting for a response."
q00509,What is Joanna allergic to?,1,other,2,semantic_neighbor,llm_00887,health,Joanna is allergic to turtles.,llm_00654|llm_00665|llm_00666|llm_00638,health|preference,Joanna cannot have dairy. || Joanna is allergic to cockroaches and has pet allergies. || Joanna wishes she could have pets but cannot due to allergies.
q00512,What nickname does Nate use for Joanna?,3,other,77,gold_below_top20,llm_00668,relationship,Nate supports Joanna in her scriptwriting career.,llm_00676,event,Nate dyed his hair last week.
q00514,What physical transformation did Nate undergo in April 2022?,2,other,6,other,llm_00879,event,Nate did not make it to the finals in his last game tournament.,llm_00676,event,Nate dyed his hair last week.
q00515,"What movie did Joanna watch on 1 May, 2022?",2,other,44,gold_below_top20,llm_00844,event,Joanna's movie script was shown on the big screen for the first time last Sunday (around 25 October 2022).,llm_00701,event,Joanna watched The Lord of the Rings Trilogy last night and enjoyed it.
q00516,Which outdoor spot did Joanna visit in May?,2,other,11,memory_type_mismatch,llm_00769,goal,Joanna recently started writing a book because her movie did well.,llm_00713,event,Joanna took a photo at Whispering Falls during her hike.
q00518,When did Nate adopt Max?,2,temporal,2,temporal_neighbor,llm_00728,family,Nate has other pets besides Max.,llm_00727,family,"Nate recently adopted a pet named Max, who is full of energy and brings him joy."
q00519,Who was the new addition to Nate's family in May 2022?,2,identity,8,memory_type_mismatch,llm_00762,event,"Nate won his fourth video game tournament on Friday, 8 July 2022, and it was online.",llm_00727,family,"Nate recently adopted a pet named Max, who is full of energy and brings him joy."
q00520,When did Joanna start writing her third screenplay?,2,temporal,5,temporal_neighbor,llm_00734,work,Joanna recently finished writing a screenplay.,llm_00723|llm_00724,work,"Joanna has written her third book, which is about loss, identity, and connection. || Joanna's third book is personal and based on a story she had for ages but just got the courage to write."
q00522,When is Nate hosting a gaming party?,2,temporal,2,memory_type_mismatch,llm_00754,event,Nate hosted a gaming party that was a great success.,llm_00744,plan,"Nate is organizing a gaming party two weekends later, inviting tournament friends and old teammates."
q00523,When did Joanna hike with her buddies?,2,temporal,6,memory_type_mismatch,llm_00713,event,Joanna took a photo at Whispering Falls during her hike.,llm_00743,plan,Joanna plans to go hiking with friends this weekend to check out a new trail with a waterfall.
q00524,When did Nate win his third tourney?,2,temporal,16,temporal_neighbor,llm_00885,event,Nate got a third turtle recently.,llm_00739|llm_00740|llm_00741,event|hobby|relationship,Nate won a regional video game tournament last week. || Nate is a competitive video game player who has participated in tournaments over the years. || Nate met new people at the tournament and they wanted to hang out later.
q00528,What kind of writings does Joanna do?,1,other,8,other,llm_00856,event,Joanna found old notebooks with her early writings last week.,llm_00632|llm_00765|llm_00769|llm_00770|llm_00771|llm_00773|llm_00776|llm_00775,event|goal|hobby|preference|work,Joanna finished her first full screenplay and printed it last Friday. || Joanna is a movie writer and has had a movie published. || Joanna recently started writing a book because her movie did well.
q00530,Where did Joanna travel to in July 2022?,2,location,4,other,llm_00844,event,Joanna's movie script was shown on the big screen for the first time last Sunday (around 25 October 2022).,llm_00764,event,"Joanna took a road trip to Woodhaven, a small town in the Midwest, for research for her next movie."
q00532,What book recommendations has Joanna given to Nate?,1,other,11,memory_type_mismatch,llm_00791,plan,Joanna plans to check out the book series recommended by Nate.,llm_00651|llm_00789,preference,Joanna watched the movie 'Little Women' and recommends it. || Joanna recommends fantasy book series for relaxation.
q00539,When did Joanna make a chocolate tart with raspberries?,2,temporal,13,temporal_neighbor,llm_00810,preference,Joanna's favorite dairy-free treat is a chocolate raspberry tart with almond flour crust.,llm_00814|llm_00815,event|preference,Joanna tried a new dairy-free recipe yesterday that was a hit with her family. || Joanna enjoys mixing and matching flavors and always trying new things in cooking.
q00540,What movies have both Joanna and Nate seen?,1,other,41,gold_below_top20,llm_00625,preference,Nate enjoys action and sci-fi movies.,llm_00651|llm_00701|llm_00819,event|preference,Joanna watched the movie 'Little Women' and recommends it. || Joanna watched The Lord of the Rings Trilogy last night and enjoyed it. || Nate recently watched the movie 'Little Women' and enjoyed it.
q00543,When did Joanna finish up the writing for her book?,2,temporal,2,memory_type_mismatch,llm_00769,goal,Joanna recently started writing a book because her movie did well.,llm_00820|llm_00821,emotion|event,Joanna finished writing her book last week after many late nights and edits. || Joanna is proud of finishing her book.
q00547,How many times has Joanna's scripts been rejected?,1,other,3,other,llm_00869,event,Joanna submitted a few more scripts last week.,llm_00737|llm_00738|llm_00842,event|work,"Joanna received a rejection letter from a major company for her screenplay, which made her feel disheartened. || Joanna has written a screenplay. || Joanna recently received another rejection from a production company."
q00549,When did Nate get Tilly for Joanna?,1,temporal,11,memory_type_mismatch,llm_00838,relationship,"Joanna has a stuffed animal dog named Tilly that Nate gave her, and she keeps it with her while writing.",llm_00732|llm_00835,event|hobby,"Nate gave Joanna a stuffed animal as a gift to remind her of good vibes. || Joanna has been revising and perfecting a recipe for her family, and it turned out really tasty."
q00550,How many of Joanna's writing have made it to the big screen?,1,other,2,semantic_neighbor,llm_00845,event,Joanna has had three movies she contributed to shown on the big screen.,llm_00746|llm_00844,event,Joanna wrote a screenplay that was shown on the big screen yesterday. || Joanna's movie script was shown on the big screen for the first time last Sunday (around 25 October 2022).
q00553,What is Joanna inspired by?,1,other,7,memory_type_mismatch,llm_00868,goal,"Joanna is writing a new movie script, a love story with challenges, inspired by a dream.",llm_00656|llm_00678|llm_00714|llm_00715|llm_00853|llm_00854|llm_00855|llm_00857|llm_00847,emotion|event|hobby|preference|work,Joanna is interested in trying Nate's dairy-free ice cream recipe. || Joanna recently went hiking and saw a gorgeous sunset. || Joanna finds nature calming and inspiring.
q00554,What animal do both Nate and Joanna like?,1,preference,25,gold_below_top20,llm_00733,emotion,Joanna received a stuffed animal from Nate and cherishes it.,llm_00663|llm_00664,family|preference,"Nate has pet turtles. || Nate is drawn to turtles because they are unique, low-maintenance, and calming."
q00555,When did Joanna plan to go over to Nate's and share recipes?,2,temporal,6,temporal_neighbor,llm_00718,plan,Joanna and Nate plan to go hiking together sometime.,llm_00863,plan,Joanna plans to visit Nate tomorrow to share desserts and try his lactose-free dessert.
q00556,What things has Nate reccomended to Joanna?,1,other,11,semantic_neighbor,llm_00824,event,Nate made Joanna a motivational gift to encourage her.,llm_00637|llm_00699|llm_00700|llm_00707|llm_00708|llm_00790|llm_00872,event|hobby|preference,"Nate recommends having pets like turtles for times of stress. || Nate's favorite movie trilogy is a fantasy/sci-fi series with great world building and battles. || Nate recommends a book series with adventures, magic, and great characters."
q00558,What Console does Nate own?,3,other,53,gold_below_top20,llm_00752,plan,Nate is considering starting a cork board of his own.,llm_00872,hobby,Nate is currently playing the fantasy RPG 'Xeonoblade Chronicles' and recommends it.
q00559,What mediums does Nate use to play games?,1,activity,7,memory_type_mismatch,llm_00818,hobby,Nate enjoys movies and games as a way to relax.,llm_00816|llm_00871,event,Nate won a big video game tournament last week and earned a lot of money. || Nate upgraded his gaming equipment at home.
q00560,How many letters has Joanna recieved?,1,other,3,memory_type_mismatch,llm_00672,preference,Joanna's go-to place for writing inspiration is a place with many books.,llm_00737|llm_00738|llm_00775,event|work,"Joanna received a rejection letter from a major company for her screenplay, which made her feel disheartened. || Joanna has written a screenplay. || Joanna: Last week, someone wrote Joanna a letter after reading her blog post about a hard moment, saying her story brought them comfort."
q00561,What video games does Nate play?,1,activity,14,activity_neighbor,llm_00624,hobby,Nate's main hobbies are playing video games and watching movies.,llm_00703|llm_00704|llm_00865|llm_00872|llm_00623|llm_00830|llm_00831,event|hobby,"Nate won his second tournament last week, in a local Street Fighter tournament. || Nate usually plays CS:GO, but also plays Street Fighter with friends. || Nate won the final of a big Valorant tournament last Saturday."
q00563,Which torunament did Nate win in the beginning of November 2022?,2,other,3,other,llm_00879,event,Nate did not make it to the finals in his last game tournament.,llm_00865,event,Nate won the final of a big Valorant tournament last Saturday.
q00564,What alternative career might Nate consider after gaming?,3,career_education,62,gold_below_top20,llm_00755,hobby,Nate played Chess after the gaming party.,llm_00783|llm_00849|llm_00885|llm_00886,event|family|preference,"Nate has pets (little dudes) that got a new tank. || Nate's turtles eat a combination of vegetables, fruits, and insects. || Nate got a third turtle recently."
q00565,What pets does Nate have?,1,other,14,semantic_neighbor,llm_00728,family,Nate has other pets besides Max.,llm_00727|llm_00885,event|family,"Nate recently adopted a pet named Max, who is full of energy and brings him joy. || Nate got a third turtle recently."
q00566,How many hikes has Joanna been on?,3,other,18,memory_type_mismatch,llm_00672,preference,Joanna's go-to place for writing inspiration is a place with many books.,llm_00678|llm_00713|llm_00884,event,Joanna recently went hiking and saw a gorgeous sunset. || Joanna took a photo at Whispering Falls during her hike. || Joanna took a sunset photo on a hike last summer near Fort Wayne.
q00567,How many turtles does Nate have?,1,other,17,memory_type_mismatch,llm_00663,family,Nate has pet turtles.,llm_00885,event,Nate got a third turtle recently.
q00568,What activities does Nate do with his turtles?,1,activity,4,memory_type_mismatch,llm_00663,family,Nate has pet turtles.,llm_00850,preference,Nate enjoys watching his turtles eat fruit because they get excited.
q00569,What do both Joanna and Nate appreciate the beauty of?,1,other,26,gold_below_top20,llm_00682,relationship,Nate and Joanna are friends who support each other.,llm_00714|llm_00885,event|preference,Joanna finds nature calming and inspiring. || Nate got a third turtle recently.
q00572,What recommendations has Nate received from Joanna?,1,location,19,memory_type_mismatch,llm_00733,emotion,Joanna received a stuffed animal from Nate and cherishes it.,llm_00629|llm_00651|llm_00752|llm_00833,other|plan|preference,Joanna recommended a romantic drama about memory and relationships to Nate. || Joanna watched the movie 'Little Women' and recommends it. || Nate is considering starting a cork board of his own.
q00573,What are Nate's favorite desserts?,1,preference,5,preference_neighbor,llm_00807,preference,Nate's favorite dish from his cooking show is coconut milk ice cream.,llm_00646|llm_00649|llm_00650,event|hobby|preference,"Nate discovered he can make coconut milk ice cream and tried it. || Nate likes coconut milk, chocolate, and mixed berry flavors for dairy-free desserts. || Nate made a dairy-free chocolate cake with berries recently."
q00577,How many screenplays has Joanna written?,1,other,2,semantic_neighbor,llm_00738,work,Joanna has written a screenplay.,llm_00632|llm_00657|llm_00659|llm_00661|llm_00662|llm_00723|llm_00724,emotion|event|goal|work,"Joanna finished her first full screenplay and printed it last Friday. || Joanna is writing a new screenplay about a thirty-year-old woman on a journey of self-discovery after a loss, involving a road trip. || Joanna is waiting to hear back about her first screenplay."
q00578,How many tournaments has Nate won?,1,other,2,semantic_neighbor,llm_00860,hobby,Nate is passionate about gaming and has won video game tournaments.,llm_00623|llm_00703|llm_00739|llm_00740|llm_00741|llm_00762|llm_00763|llm_00781|llm_00782|llm_00816|llm_00865,event|hobby|relationship|work,"Nate won his first video game tournament last week in Counter-Strike: Global Offensive. || Nate won his second tournament last week, in a local Street Fighter tournament. || Nate won a regional video game tournament last week."
q00580,What recipes has Nate made?,1,other,10,memory_type_mismatch,llm_00806,identity,Nate has a cooking show.,llm_00646|llm_00653,event|hobby,Nate discovered he can make coconut milk ice cream and tried it. || Nate made chocolate and vanilla swirl ice cream for a friend who loved it.
q00581,What are the skills that Nate has helped others learn?,1,causal_emotion,5,memory_type_mismatch,llm_00682,relationship,Nate and Joanna are friends who support each other.,llm_00777|llm_00859|llm_00860|llm_00742,event|hobby|plan|work,Nate started teaching people how to make dairy-free desserts. || Nate helped friends reset their high scores at an international video game tournament. || Nate is passionate about gaming and has won video game tournaments.
q00582,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,3,career_education,122,gold_below_top20,llm_00668,relationship,Nate supports Joanna in her scriptwriting career.,llm_00792|llm_00793|llm_00802|llm_00803,emotion|event|identity,Nate recently had a letdown in a video game tournament. || Nate is trying to stay positive after a setback in a video game tournament. || Joanna is a writer.
q00583,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,3,career_education,3,career_education_neighbor,llm_00769,goal,Joanna recently started writing a book because her movie did well.,llm_00889|llm_00890,goal|work,Joanna is filming her own movie based on her road-trip script. || Joanna's movie is based on her road-trip script.
q00585,What state did Nate visit?,3,other,49,gold_below_top20,llm_00879,event,Nate did not make it to the finals in his last game tournament.,llm_00893|llm_00894,event|hobby,Nate took his turtles to the beach in Tampa yesterday. || Nate has pet turtles that bring him peace and calm.
